id,guid,is_active,is_deleted,created_by,created_date,last_modified_by,last_modified_date,name,city_id
1,"",t,f,1,2013-02-11 18:59:02,3965,2013-02-26 11:59:37,JAYANAGAR,1
2,"",t,f,1,2013-02-11 18:59:46,3965,2013-02-26 12:08:15,MG ROAD,1
19,"",t,f,3965,2013-02-14 19:15:16,3965,2013-02-26 12:14:45,RAJARAJESHWARI NAGAR,1
4,"",t,f,3965,2013-02-14 19:03:37,3965,2013-02-26 11:56:07,HEBBAL,1
5,"",t,f,3965,2013-02-14 19:04:50,3965,2013-02-26 12:06:47,J P NAGAR,1
7,"",t,f,3965,2013-02-14 19:06:01,3965,2013-02-26 12:18:50,WHITEFIELD,1
8,"",t,f,3965,2013-02-14 19:07:01,3965,2013-02-26 11:58:02,BANASHANKARI ,1
10,"",t,f,3965,2013-02-14 19:08:01,3965,2013-02-26 12:14:16,SHIVAJI NAGAR,1
11,"",t,f,3965,2013-02-14 19:09:02,3965,2013-02-26 11:52:08,BASAVESHWARA NAGAR,1
12,"",t,f,3965,2013-02-14 19:09:59,3965,2013-02-26 12:06:24,KAMAKSHIPALYA,1
13,"",t,f,3965,2013-02-14 19:10:44,3965,2013-02-26 12:10:01,NELAMANGALA,1
14,"",t,f,3965,2013-02-14 19:11:23,3965,2013-02-26 12:18:13,RAJAJI NAGAR,1
15,"",t,f,3965,2013-02-14 19:12:24,3965,2013-02-26 11:57:15,R T NAGAR,1
16,"",t,f,3965,2013-02-14 19:13:02,3965,2013-02-26 12:07:47,LAGGERE,1
17,"",t,f,3965,2013-02-14 19:13:39,3965,2013-02-26 12:12:17,CHICKPET ,1
18,"",t,f,3965,2013-02-14 19:14:16,3965,2013-02-26 11:10:09,INDIRA NAGAR,1
20,"",t,f,3965,2013-02-14 19:15:50,3965,2013-02-26 12:04:25,BANASWADI,1
21,"",t,f,3965,2013-02-14 19:16:15,3965,2013-02-26 12:09:31,YESHWANTPUR,1
22,"",t,f,3965,2013-02-14 19:16:47,3965,2013-02-26 12:16:16,KUMARASWAMY LAYOUT,1
23,"",t,f,3965,2013-02-14 19:17:13,3965,2013-02-26 11:56:47,BTM LAYOUT,1
24,"",t,f,3965,2013-02-14 19:18:06,3965,2013-02-26 12:07:16,PEENYA INDUSTRIAL AREA,1
25,"",t,f,3965,2013-02-14 19:18:53,3965,2013-02-26 12:11:32,ADUGODI,1
26,"",t,f,3965,2013-02-14 19:20:08,1,2013-02-26 11:00:05,DODDABALLAPUR,1
27,"",t,f,3965,2013-02-14 19:20:42,3965,2013-02-26 12:00:47,KADUGODI COLONY,1
28,"",t,f,3965,2013-02-14 19:21:27,3965,2013-02-26 12:09:05,JALAHALLI EAST,1
30,"",t,f,3965,2013-02-14 19:23:05,3965,2013-02-26 14:49:02,ASHOKPURAM,11
31,"",t,f,3965,2013-02-14 19:23:47,3965,2013-02-26 15:26:32,METAGALLI,11
32,"",t,f,3965,2013-02-14 19:24:10,3965,2013-02-26 14:18:50,BASAVESWARA BLOCK ,11
33,"",t,f,3965,2013-02-14 19:24:37,3965,2013-02-26 14:46:19,BELVADI,11
34,"",t,f,3965,2013-02-14 19:25:10,3965,2013-02-26 14:56:38,CHAMUNDI EXTN,11
36,"",t,f,3965,2013-02-14 19:26:09,3965,2013-02-26 15:30:38,GAYATHRIPURAM,11
37,"",t,f,3965,2013-02-14 19:27:02,3965,2013-02-26 14:38:29,KUVEMPUNAGAR,11
38,"",t,f,3965,2013-02-14 19:30:08,3965,2013-02-26 14:47:44,VIJAYANAGAR ,11
39,"",t,f,3965,2013-02-14 19:30:48,3965,2013-02-26 15:25:48,VIDYARANYAPURAM,11
40,"",t,f,3965,2013-02-14 19:31:19,3965,2013-02-26 15:31:58,LAKSHMIPURAM ,11
41,"",t,f,3965,2013-02-14 19:31:56,3965,2013-02-26 14:45:25,KABIR ROAD ,11
