id,guid,is_active,is_deleted,created_by,created_date,last_modified_by,last_modified_date,name,code,tin
22,7be55946-308d-4d34-a610-cecc8a8314b0,t,f,3965,2013-02-26 15:49:58,GAURAV,2018-11-12 11:11:00.57,ODISHA,OD,21
21,ad8ca8ed-3e35-49e6-963a-7f54b11583a3,t,f,3965,2013-02-26 15:49:26,GAURAV,2018-11-12 11:11:36.779,NAGALAND,NL,13
20,455f0cf1-4292-4d7e-a8c6-ccaa8dd12308,t,f,3965,2013-02-26 15:48:39,GAURAV,2018-11-12 11:11:54.42,MIZORAM,MZ,15
24,55a19f51-68a2-4032-81f0-04649ad20180,t,f,3965,2013-02-26 15:51:20,GAURAV,2018-11-12 11:12:10.146,SIKKIM,SK,11
12,3e54b6a0-65d9-4728-966b-0ee4eb12bd28,t,f,1,2012-03-03 23:50:23,GAURAV,2018-11-12 11:13:00.273,BIHAR,BR,10
2,8921158a-f2e4-4163-af44-5b2dfae6457f,t,f,1,2010-12-17 00:22:07,GAURAV,2018-11-12 11:13:19.841,PUNJAB,PB,03
18,040959ed-0821-4db2-b9fe-9206264c424d,t,f,3965,2013-02-26 15:43:38,GAURAV,2018-11-12 11:13:43.4,MANIPUR,MN,14
26,0c46a450-ff95-4984-99af-edce2a046d05,t,f,3965,2013-02-26 15:52:55,GAURAV,2018-11-12 11:14:03.889,UTTARKHAND,UK,05
25,aa1709e3-27f9-4fe8-a51f-2a0e0bd4279d,t,f,3965,2013-02-26 15:52:00,GAURAV,2018-11-12 11:14:23.262,TRIPURA,TR,16
27,7191c53b-5821-444e-93d5-81b930b48144,t,f,3965,2013-02-26 15:53:40,GAURAV,2018-11-12 11:15:12.62,WEST BENGAL,WB,19
17,cc6f0b2a-4d16-46fe-a03d-aef1766ae377,t,f,3965,2013-02-26 15:42:54,GAURAV,2018-11-12 11:15:33.922,MAHARASHTRA,MH,27
5,9119c018-0292-4020-b5db-3d84e6f2c782,t,f,1,2012-03-03 00:25:53,GAURAV,2018-11-12 11:16:17.327,KERALA,KL,32
6,939c7487-e115-434c-b746-d1ab45b9434d,t,f,1,2012-03-03 23:26:53,GAURAV,2018-11-12 11:16:53.059,JAMMU AND KASHMIR,JK,01
10,37039151-5808-402c-b6b5-531cb5890a02,t,f,1,2012-03-03 23:47:36,GAURAV,2018-11-12 11:17:13.66,HIMACHAL PRADESH,HP,02
28,0e549d9e-b79e-48fa-8e58-68d1d402ae91,t,f,3965,2013-02-28 10:33:33,GAURAV,2018-11-12 11:17:35.707,ARUNACHAL PRADESH,AR,12
9,911e7ab1-e5ef-418b-9c60-0098013e7f83,t,f,1,2012-03-03 23:45:05,GAURAV,2018-11-12 11:17:55.301,HARYANA,HR,06
8,79b6316b-2255-4095-88ad-de816a923705,t,f,1,2012-03-03 23:44:09,GAURAV,2018-11-12 11:18:16.288,GUJARAT,GJ,24
7,bc1924aa-1cd8-41c3-92ca-045d75141f6a,t,f,1,2012-03-03 23:32:00,GAURAV,2018-11-12 11:19:07.692,ANDHRA PRADESH,AD,37
15,a29f36d2-6e62-4b4d-92ba-1a41ef1d83f4,t,f,3965,2013-02-26 15:39:47,GAURAV,2018-11-12 11:19:24.796,JHARKHAND,JH,20
4,a4762e87-2a99-4288-be98-53de030e2fa0,t,f,1,2011-10-29 23:14:27,GAURAV,2018-11-12 11:19:52.804,TAMILNADU,TN,33
3,83a25735-266e-4a73-b05f-41588e46139f,t,f,1,2011-05-14 18:24:35,GAURAV,2018-11-12 11:20:13.593,ASSAM,AS,18
11,c864a3a6-9c36-45f7-b670-bcd03da0ad08,t,f,1,2012-03-03 23:49:15,GAURAV,2018-11-12 11:20:36.117,CHHATTISGARH,CG,22
19,3747cf79-b0c5-473b-92a0-6ef71090a993,t,f,3965,2013-02-26 15:44:16,GAURAV,2018-11-12 11:20:57.751,MEGHALAYA,ML,17
23,a015c47d-3f15-48bb-9b52-c6497daad8f7,t,f,3965,2013-02-26 15:50:42,GAURAV,2020-06-07 00:19:29.054,RAJASTHAN,RJ,08
14,9eaceccc-5ff1-41d0-9c70-14e35fd121d3,t,f,1,2012-03-03 23:53:02,PAWAN,2019-11-30 14:23:14.345,UTTAR PRADESH,PR,44
29,9fca31d9-cfac-49f1-bf74-47b0780f8123,t,f,GAURAV,2018-11-12 11:22:42.272,SANGEETA,2019-09-02 11:51:12.51,DELHI,DL,07
13,34a5496a-a998-4b38-bdff-acba03699c03,t,f,1,2012-03-03 23:51:16,GAURAV,2018-11-12 11:15:56.461,GOA,GA,30
16,27f7a9ba-639f-4852-8e18-8179adc0a2df,t,f,3965,2013-02-26 15:42:05,GAURAV,2018-11-12 11:21:46.307,MADHYA PRADESH,MP,23
1,87ad9160-18ad-4f70-8188-dc06b47b150c,t,f,1,2010-10-18 12:51:20,SANGEETA,2019-09-19 07:54:03.995,KARNATAKA,KA,00
